Fecha_prueba|Matricula|Temp_Amb|Humr_Amb|Marca|Modelo|Cilindraje|Combustible|Kilometraje|Fecha_ITV|CDA|Temp_motor|RPM_motor|HC|CO|CO2|O2|RPM_Cru|HC_Cru|CO_Cru|CO2_Cru|O2_Cru
2021-09-08 00:00:00|6565 SMI|18.5|55.6|MARCA 2|2002|1200|GNV_gasolina|518130.0|2021-02-21|EMPRESA J|90.0|930|60|0.34|15.2|3.5|2420|115|0.49|15.3|2.1
2021-09-22 00:00:00|9501 EOQ|21.8|43.8|MARCA 5|2015|1200|GNV|152280.0|2021-03-31|EMPRESA D|84.0|884|132|0.3|11.0|2.5|2356|66|0.27|13.5|3.5
2021-09-28 00:00:00|5210 XRC|20.7|50.0|MARCA 1|2010|1200|Gasolina|288090.0|2021-01-20|EMPRESA F|71.0|854|100|0.28|14.1|3.8|2694|127|0.39|11.9|1.6
2021-09-07 00:00:00|5860 QKJ|22.3|54.8|MARCA 2|2004|1200|Gasolina|504900.0|2021-01-19|EMPRESA E|85.0|917|68|0.15|10.7|2.7|2564|129|0.45|14.2|2.3
2021-09-06 00:00:00|3838 JCP|22.0|55.3|MARCA 3|2021|1200|GNV|13918.0|2021-02-22|EMPRESA F|79.0|834|79|0.19|11.5|1.9|2360|82|0.35|10.5|1.8
2021-09-07 00:00:00|9647 QYV|20.1|47.7|MARCA 2|2015|999|Gasolina|166860.0|2021-01-30|EMPRESA B|88.0|948|129|0.44|10.9|1.8|2609|89|0.17|13.5|3.7
2021-09-16 00:00:00|7447 SPB|22.2|43.1|MARCA 4|2012|1400|GNV_gasolina|233280.0|2021-02-13|EMPRESA E|78.0|812|91|0.26|15.4|3.4|2366|122|0.49|12.2|3.8
2021-09-09 00:00:00|9568 WAS|22.9|46.9|MARCA 4|2015|1200|GNV|157140.0|2021-02-28|EMPRESA B|75.0|885|102|0.2|10.6|1.4|2565|122|0.29|12.1|1.4
2021-09-09 00:00:00|9524 ZFS|22.9|43.7|MARCA 4|2007|1400|GNV_gasolina|415800.0|2021-03-09|EMPRESA H|86.0|914|108|0.37|15.0|3.9|2602|145|0.33|11.4|2.0
2021-09-18 00:00:00|9403 MHO|22.7|40.8|MARCA 2|2010|1200|Gasolina|279180.0|2021-02-16|EMPRESA C|75.0|872|148|0.15|10.5|3.0|2469|53|0.22|11.2|1.9
2021-09-11 00:00:00|1017 VAX|19.0|44.2|MARCA 3|2007|1400|Gasolina|347760.0|2021-04-01|EMPRESA C|74.0|819|77|0.22|12.2|3.8|2442|149|0.28|10.2|1.2
2021-09-30 00:00:00|3349 JWP|20.7|49.5|MARCA 1|2006|999|GNV_gasolina|388800.0|2020-12-06|EMPRESA E|73.0|916|62|0.14|14.1|1.1|2368|103|0.43|12.9|3.8
2021-09-21 00:00:00|0211 YRQ|21.1|47.3|MARCA 3|2019|1400|GNV_gasolina|51840.0|2021-03-15|EMPRESA H|72.0|865|119|0.5|13.1|1.3|2488|77|0.5|13.8|3.1
2021-09-15 00:00:00|8419 JFB|18.4|44.9|MARCA 1|2003|1400|GNV_gasolina|520020.0|2021-02-22|EMPRESA B|73.0|903|63|0.44|15.9|1.7|2565|124|0.33|15.7|2.0
2021-09-09 00:00:00|1310 YML|19.4|51.6|MARCA 3|2005|999|GNV_gasolina|432000.0|2021-01-07|EMPRESA F|86.0|920|124|0.31|13.5|1.2|2547|114|0.13|13.5|1.8
